difficulty,event_order,beat_idx,beat_time,onset_time,residual_ms,timing_source,subdivision,source_event_idx,onset_class,segment_idx,segment_focus,motif_id,motif_length_beats,motif_token_length,motif_repeat_count,motif_fingerprint,event_role,difficulty_inclusion
hard,0,2,0.749,0.742,-7.0,onset,downbeat,3,percussive,0,percussive,,,,,,easy,easy
hard,1,3,1.123,1.12,-3.0,onset,downbeat,5,percussive,0,percussive,,,,,,medium,medium
hard,2,4,1.498,1.49,-8.0,onset,downbeat,7,percussive,0,percussive,,,,,,easy,easy
hard,3,5,1.872,1.872,0.0,onset,downbeat,9,percussive,0,percussive,,,,,,hard,hard
hard,4,6,2.247,2.242,-5.0,onset,downbeat,11,percussive,0,percussive,,,,,,easy,easy
hard,5,7,2.621,2.621,0.0,onset,downbeat,13,percussive,0,percussive,,,,,,medium,medium
hard,6,8,2.995,2.998,3.0,onset,downbeat,15,percussive,0,percussive,,,,,,hard,hard
hard,7,9,3.37,3.37,0.0,onset,downbeat,17,percussive,0,percussive,,,,,,hard,hard
hard,8,10,3.744,3.747,3.0,onset,downbeat,19,percussive,0,percussive,,,,,,medium,medium
hard,9,12,4.493,4.492,-1.0,onset,downbeat,23,percussive,0,percussive,,,,,,easy,easy
hard,10,16,6.008,5.984,-24.0,onset,downbeat,26,percussive,0,percussive,,,,,,easy,easy
hard,11,47,17.624,17.621,-3.0,onset,downbeat,31,full-spectrum,2,full-spectrum,,,,,,easy,easy
hard,12,79,29.623,29.617,-6.0,onset,downbeat,37,full-spectrum,3,full-spectrum,,,,,,hard,hard
hard,13,80,30.006,29.979,-27.0,onset,downbeat,38,full-spectrum,3,full-spectrum,,,,,,easy,easy
hard,14,96,36.005,35.983,-22.0,onset,downbeat,42,full-spectrum,4,full-spectrum,,,,,,easy,easy
hard,15,128,47.813,47.807,-6.0,onset,downbeat,48,percussive,5,percussive,,,,,,easy,easy
hard,16,144,53.673,53.62,-53.0,onset,downbeat,51,full-spectrum,6,full-spectrum,,,,,,hard,hard
hard,17,145,54.004,53.985,-19.0,onset,downbeat,55,full-spectrum,6,full-spectrum,,,,,,easy,easy
hard,18,176,65.628,65.618,-10.0,onset,downbeat,60,full-spectrum,7,full-spectrum,,,,,,hard,hard
hard,19,177,66.003,65.991,-12.0,onset,downbeat,61,full-spectrum,7,full-spectrum,,,,,,easy,easy
hard,20,208,77.627,77.619,-8.0,onset,downbeat,66,full-spectrum,8,full-spectrum,,,,,,easy,easy
hard,21,225,84.001,83.986,-15.0,onset,downbeat,72,full-spectrum,9,full-spectrum,,,,,,easy,easy
hard,22,257,95.817,95.808,-9.0,onset,downbeat,78,percussive,10,percussive,,,,,,easy,easy
hard,23,274,102.008,101.982,-26.0,onset,downbeat,84,full-spectrum,11,full-spectrum,,,,,,easy,easy
hard,24,301,112.126,112.109,-17.0,onset,downbeat,100,full-spectrum,11,full-spectrum,,,,,,hard,hard
hard,25,305,113.624,113.603,-21.0,onset,downbeat,103,full-spectrum,11,full-spectrum,,,,,,medium,medium
hard,26,306,113.998,113.987,-11.0,onset,downbeat,105,full-spectrum,11,full-spectrum,,,,,,easy,easy
hard,27,307,114.373,114.361,-12.0,onset,downbeat,106,full-spectrum,11,full-spectrum,,,,,,easy,easy
hard,28,308,114.747,114.737,-10.0,onset,downbeat,107,full-spectrum,11,full-spectrum,,,,,,medium,medium
hard,29,309,115.122,115.112,-10.0,onset,downbeat,108,full-spectrum,11,full-spectrum,,,,,,medium,medium
hard,30,310,115.496,115.483,-13.0,onset,downbeat,109,full-spectrum,11,full-spectrum,,,,,,easy,easy
hard,31,311,115.87,115.861,-9.0,onset,downbeat,110,full-spectrum,11,full-spectrum,,,,,,hard,hard
hard,32,312,116.245,116.236,-9.0,onset,downbeat,111,full-spectrum,11,full-spectrum,,,,,,easy,easy
hard,33,313,116.619,116.611,-8.0,onset,downbeat,112,full-spectrum,11,full-spectrum,,,,,,easy,easy
hard,34,314,116.994,116.98,-14.0,onset,downbeat,113,full-spectrum,11,full-spectrum,,,,,,hard,hard
hard,35,316,117.743,117.728,-15.0,onset,downbeat,115,full-spectrum,11,full-spectrum,,,,,,hard,hard
hard,36,384,143.264,143.261,-3.0,onset,downbeat,126,full-spectrum,12,full-spectrum,,,,,,hard,hard
hard,37,386,144.004,143.979,-25.0,onset,downbeat,127,full-spectrum,12,full-spectrum,,,,,,easy,easy
hard,38,416,155.254,155.237,-17.0,onset,downbeat,128,full-spectrum,13,full-spectrum,,,,,,medium,medium
hard,39,417,155.629,155.614,-15.0,onset,downbeat,130,full-spectrum,13,full-spectrum,,,,,,hard,hard
hard,40,418,156.003,155.981,-22.0,onset,downbeat,133,full-spectrum,13,full-spectrum,,,,,,easy,easy
hard,41,449,167.619,167.615,-4.0,onset,downbeat,135,full-spectrum,13,full-spectrum,,,,,,medium,medium
hard,42,450,168.002,167.979,-23.0,onset,downbeat,136,full-spectrum,13,full-spectrum,,,,,,easy,easy
hard,43,456,170.153,170.151,-2.0,onset,downbeat,137,full-spectrum,14,full-spectrum,,,,,,medium,medium
hard,44,458,170.902,170.899,-3.0,onset,downbeat,139,full-spectrum,14,full-spectrum,,,,,,easy,easy
hard,45,473,176.536,176.524,-12.0,onset,downbeat,146,full-spectrum,14,full-spectrum,,,,,,medium,medium
hard,46,474,176.91,176.901,-9.0,onset,downbeat,147,full-spectrum,14,full-spectrum,,,,,,easy,easy
hard,47,478,178.408,178.4,-8.0,onset,downbeat,148,full-spectrum,14,full-spectrum,,,,,,hard,hard
hard,48,482,180.001,179.98,-21.0,onset,downbeat,155,full-spectrum,14,full-spectrum,,,,,,easy,easy
hard,49,501,187.124,187.119,-5.0,onset,downbeat,156,full-spectrum,15,full-spectrum,,,,,,hard,hard
hard,50,514,192.0,191.986,-14.0,onset,downbeat,158,full-spectrum,15,full-spectrum,,,,,,easy,easy
